Customer_Key,Recency,Frequency,Monetary,RFM_Score,Churn_Risk,Predicted_Risk_Label,Recommended_Intervention
AGARTALA_TRIPURA,1,98,64647.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AGARWADA_GOA,31,1,544.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AGAR_MADHYA PRADESH,10,5,3103.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AGATTI_LAKSHADWEEP,49,1,771.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AGIRIPALLE_ANDHRA PRADESH,3,2,1412.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
AGORPARA_WEST BENGAL,24,1,487.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AGRA 282005_UTTAR PRADESH,75,1,721.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AGRA-282001_UTTAR PRADESH,90,1,0.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AGRA_UTTAR PRADESH,1,211,147664.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AHEMADABAD_GUJARAT,70,1,801.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AHEMDABAD_GUJARAT,42,4,3494.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
AHEMEDABAD_GUJARAT,4,2,1823.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
AHERI_MAHARASHTRA,12,2,1082.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AHIWARA_CHHATTISGARH,4,3,1617.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AHMADABAD_GUJARAT,6,2,1465.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
AHMADNAGARA_MAHARASHTRA,40,1,885.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AHMADNAGAR_MAHARASHTRA,3,52,35739.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AHMADPUR_WEST BENGAL,76,2,1079.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AHMDABAD_GUJARAT,42,1,653.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AHMED NAGAR_MAHARASHTRA,32,3,993.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AHMEDABAD 380013_GUJARAT,68,2,1875.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AHMEDABAD 380014_GUJARAT,71,1,459.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"AHMEDABAD,_GUJARAT",73,1,744.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AHMEDABAD._GUJARAT,78,1,435.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AHMEDABADVASNA_GUJARAT,44,1,612.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AHMEDABAD_GUJARAT,1,1258,820379.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AHMEDANAGAR_MAHARASHTRA,56,1,850.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AHMEDNAGAR_MAHARASHTRA,2,13,8914.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AHMEDPUR_MAHARASHTRA,31,1,648.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AHORE_RAJASTHAN,9,3,2111.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AIMANAM_KERALA,73,4,3779.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
"AINAVILLI MANDAL, EAST GODHAVARI_ANDHRA PRADESH",12,1,458.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AIROLI NAVI MUMBAI_MAHARASHTRA,3,1,794.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"AIROLI, NAVI MUMBAI_MAHARASHTRA",89,1,499.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"AIROLI, NAVIMUMBAI_MAHARASHTRA",27,1,799.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AIROLI_MAHARASHTRA,5,3,1793.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AIZAWL_MIZORAM,2,56,31671.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AJAYGARH_MADHYA PRADESH,27,1,1164.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
AJEKAR_KARNATAKA,23,1,292.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AJMER_RAJASTHAN,2,73,52040.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AJNALA_PUNJAB,13,4,2446.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AKALGARH_PUNJAB,48,2,1745.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"AKASH NAGAR ANNEXE, MANIMEDU_TAMIL NADU",18,1,1075.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AKATHIYOOR_KERALA,61,1,476.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AKBARPUR NEAR KANPUR_UTTAR PRADESH,34,3,1396.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
AKBARPUR_UTTAR PRADESH,3,10,9290.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AKHNOOR_JAMMU & KASHMIR,24,5,2827.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AKIVIDU_ANDHRA PRADESH,35,2,1733.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AKKALKUWA_MAHARASHTRA,25,1,416.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AKOLA_MAHARASHTRA,6,47,30728.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AKOLE AHMADNAGAR DISTRICT_MAHARASHTRA,83,1,399.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AKOT_MAHARASHTRA,28,2,458.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AKURDI_MAHARASHTRA,11,4,2661.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
"ALAGAPPAPURAM,KANYAKUMARI DISTRICT_TAMIL NADU",32,1,560.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALAGAPPAPURAM_TAMIL NADU,24,5,2009.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ALAIPUR_WEST BENGAL,74,1,376.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALAMCODE MALAPPURAM DISTRICT_KERALA,71,1,744.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALAMCODE VANCHIYOOR THIRUVANANTHAPURAM DISTRICT_KERALA,64,1,357.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALAMCODE_KERALA,75,1,399.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"ALAMPUR, KANGRA_HIMACHAL PRADESH",57,1,597.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALAMURU_ANDHRA PRADESH,64,2,1174.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALANDI PUNE_MAHARASHTRA,64,1,716.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"ALANDI, PUNE_MAHARASHTRA",85,1,721.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALANDI_MAHARASHTRA,81,1,521.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALAND_KARNATAKA,12,3,2011.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ALANGAD VIA_KERALA,65,1,824.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALANGAD_KERALA,21,2,1134.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
ALANGAYAM_TAMIL NADU,59,1,752.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALANGULAM TIRUNELVELI DISTRICT_TAMIL NADU,20,5,1980.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ALANTHURAI_TAMIL NADU,12,11,9985.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ALAPPUZHA HARIPPAD_KERALA,7,1,735.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALAPPUZHA_KERALA,1,58,35565.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
"ALAPUZHA,KAYAMKULLAM_KERALA",19,1,792.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALAPUZHYA_KERALA,68,1,399.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALATHUR_KERALA,18,11,6783.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ALAWALPUR_PUNJAB,55,1,562.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALA_KERALA,8,1,969.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALDONA_GOA,18,9,5164.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ALIBAG_MAHARASHTRA,16,8,4227.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
"ALIGANG, LUCKNOW_UTTAR PRADESH",58,1,1257.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALIGANJ_UTTAR PRADESH,22,5,3467.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ALIGARH_UTTAR PRADESH,3,96,68690.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ALIPORE KOLKATA_WEST BENGAL,80,2,1576.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALIPURDUAR_WEST BENGAL,21,4,2694.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ALIPURDUAT_WEST BENGAL,63,2,1194.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALIRAJPUR_MADHYA PRADESH,4,1,292.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALLAGADDA_ANDHRA PRADESH,23,1,967.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALLAHABAD PRAYAGRAJ_UTTAR PRADESH,82,2,2066.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALLAHABAD_UTTAR PRADESH,1,270,185668.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ALLAHGANJ_UTTAR PRADESH,87,1,969.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALLAPALLI_MAHARASHTRA,63,1,1065.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"ALLAPRA, PERUMBAVOOR_KERALA",40,1,885.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALLAPUZHA_KERALA,46,1,382.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALLAVARAM_ANDHRA PRADESH,39,1,561.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALLEPPEY_KERALA,23,1,435.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALLIPUR_TELANGANA,90,1,449.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALLUR_ANDHRA PRADESH,13,5,4112.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ALMORA_UTTARAKHAND,6,35,22400.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ALNAVAR_KARNATAKA,66,1,376.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALOK CITY_DADRA AND NAGAR,67,4,3767.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
ALONG_ARUNACHAL PRADESH,15,10,5834.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ALOT_MADHYA PRADESH,88,1,383.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALTO DABOLIM_GOA,87,1,749.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"ALTO PORVORIM,_GOA",45,1,696.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALTO PORVORIM_GOA,24,1,614.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALUR_TAMIL NADU,86,1,449.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALUVA / ERNAKULAM_KERALA,20,1,486.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALUVA 6_KERALA,19,1,771.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALUVA ERNAKULAM_KERALA,17,1,1442.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
"ALUVA, ERNAKULAM DIST_KERALA",5,1,689.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"ALUVA, ERNAKULAM_KERALA",57,1,458.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALUVA-2_KERALA,25,1,376.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALUVA2_KERALA,46,1,771.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALUVA_KERALA,4,46,27201.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ALWARKURICHI_TAMIL NADU,65,1,518.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"ALWARPET, CHENNAI_TAMIL NADU",7,1,422.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ALWAR_RAJASTHAN,2,71,49267.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMADALAVALASA_ANDHRA PRADESH,55,1,492.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMALAPURAM_ANDHRA PRADESH,5,20,10240.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMALNER_MAHARASHTRA,56,2,977.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMALSAD_GUJARAT,3,1,457.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMANGAL_TELANGANA,15,1,1163.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMARAVATHI_ANDHRA PRADESH,20,3,1680.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMARKANTAK_MADHYA PRADESH,77,1,518.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMARPATAN_MADHYA PRADESH,58,1,495.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMBAD_MAHARASHTRA,15,1,534.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMBAGARH CHOWKI_CHHATTISGARH,19,1,544.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMBALA CANTT_HARYANA,6,10,6749.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMBALA CITY_HARYANA,25,4,2769.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMBALAMEDU_KERALA,48,1,771.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMBALAPUZHA_KERALA,54,1,882.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMBALA_HARYANA,1,55,38087.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMBALLUR_KERALA,12,1,735.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMBARNATH (E)_MAHARASHTRA,87,1,499.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMBARNATH (EAST)_MAHARASHTRA,20,1,735.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMBARNATH (WEST)_MAHARASHTRA,26,1,869.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMBARNATH EAST_MAHARASHTRA,18,5,3163.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMBARNATH WEST_MAHARASHTRA,69,1,751.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"AMBARNATH, WEST_MAHARASHTRA",70,1,744.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMBARNATH_MAHARASHTRA,1,89,56842.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMBASAMUDRAM_TAMIL NADU,47,2,800.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMBATTUR_TAMIL NADU,43,3,1154.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMBEDKAR NAGAR_UTTAR PRADESH,58,4,2043.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMBEDKARNAGER_UTTAR PRADESH,45,1,441.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMBEGAON_MAHARASHTRA,25,1,666.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMBEJOGAI_MAHARASHTRA,48,9,6144.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMBEPUR_MAHARASHTRA,29,1,659.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMBERNATH EAST DIST THANE_MAHARASHTRA,72,1,399.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMBERNATH WEST_MAHARASHTRA,8,1,301.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMBERNATH [E] DISTRICT AMBERNATH_MAHARASHTRA,87,1,688.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMBERNATH_MAHARASHTRA,13,1,1163.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMBERPWT HYDERABAD_TELANGANA,5,1,345.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMBIKANAGARA_KARNATAKA,72,2,926.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMBIKAPUR_CHHATTISGARH,8,27,19362.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMBUR_TAMIL NADU,23,13,8892.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMB_HIMACHAL PRADESH,45,1,574.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMDANGA_WEST BENGAL,36,1,517.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMEENPUR HYDERABAD_TELANGANA,39,2,1100.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMETHI SULTANPUR DISTRICT_UTTAR PRADESH,15,7,4014.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMETHI_UTTAR PRADESH,16,11,7348.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMILA_UTTAR PRADESH,61,2,2270.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMLAI_MADHYA PRADESH,14,1,690.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMLA_MADHYA PRADESH,6,5,4809.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMLOHRI_MADHYA PRADESH,17,1,432.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMMAPETTAI ERODE DISTRICT_TAMIL NADU,6,2,2106.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMPATI_MEGHALAYA,34,1,771.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMRATH_BIHAR,34,1,1698.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMRAVATI._MAHARASHTRA,61,1,399.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMRAVATI_MAHARASHTRA,5,70,44688.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMRELI_GUJARAT,7,5,4315.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMRITSAR_PUNJAB,1,145,92393.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMROHA_UTTAR PRADESH,31,12,7752.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
"AMRUTHAHALLI, JAKKUR POST_KARNATAKA",51,4,2990.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
AMTADY_KARNATAKA,63,1,725.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMTALA_WEST BENGAL,84,1,353.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AMTA_WEST BENGAL,74,2,971.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ANADAPURAM_ANDHRA PRADESH,2,2,496.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ANAIMALAI_TAMIL NADU,40,1,699.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ANAKAPALLE_ANDHRA PRADESH,3,33,20142.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ANAKAPALLI MANDAL_ANDHRA PRADESH,74,1,299.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ANAKAPALLI_ANDHRA PRADESH,44,2,1034.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ANAKKAYAM_KERALA,19,1,599.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ANAND NAGAR_ASSAM,75,1,376.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
